Abernathy Darwin,Dunlap
Elayne,Trakand
Eleanor,Branstone
Eleanor,Green
Elizabeth,Cutler 
Elizabeth,Imbrie
Elizabeth,Swann
Ellen,Mitchell
Elle,Woods
Ellie,Graham
Eloise,Midgeon
Emily,Gilmore
Emily,Montgomery
Emma,Dobbs
Emmaline,Vance
Emmett,Brown
Emmett,Richmond
Erica,Flynn
Eric,Chant
Erik,Selvig
Ernie,Mcmillan
Ernie,Prang
Eskarina,Smith
Esmerelda,Weatherwax
Everett,Stone
Eyeball,Chambers
Faile,Bashere
Fairchild ,van Waldenberg
Faye,Moskowitz
Fedwin,Morr
Felix,La PuBelle
Filius,Flitwick
Finius,Nigelus
Fleur,Delacour
Florean,Fortesque
Forrest,Gump
François,Toulour
Fran,Fine
Frank,Brackett
Frank,Bryce
Frank,Buffay Jr.
Frank,Catton
Frank,Harris
Frank,Naville
Frank,Ricard
Frank,Rossitano
Frasier,Crane
Fred,Colon
Freddy,Bender
Frederick,Crane
Fred,Kwan
Fred,Weasley
Gabrielle,Delacour
Galad,Damodred
Gale,Bertram
Gareth,Bryne
Garth,Holliday
Gaspar,LeMarque
Gavin,Mitchell
Gawyn,Trakand
George,Kittredge
George,McFly
George,Weasley
Georgina,Dallymore
Gerald,Lambeau
Gil,Chesterton
Gildaroy,Lockheart
Gill,Chavez
Gina,Tribbiani
Ginny,Weasley
Gloria,Cleary
Gloria,Pritchett
Godric,Gryffindor
Goldie,Wilson
Gordie,Lachance
Gordon,Pritchard
Grace,van Pelt
Graham,Pritchard
Granny,Aching
Greco,Montgomery
Gus,Petch
Guy,Fleegman
Gwen,DeMarco
Gwendolen,Chant
Gwen,Harrison
Gwenog,Jones
Gytha,Ogg
Haley,Dunphy
Hal,Weidmann
Hannah,Abbott
Harlan,Fullbright
Havelock,Vetinari
Heather,Biblow
Hector,Barbossa
Hector,Gorgonzolas
Helga,Hufflepuff
Herbert,Chorley
Hermes,Conrad
Hermione,Granger
Herold,Dingle
Hester,Crane
Hilary,Banks
H.M.,Murdock
Hoban,Washburne
Honey,Snow
Hoshi,Sato
Howard,Brackett
Howard D.,Doyle
Howard,Wolowitz
Howl,Pendragon
Hoyt,Ambrose
Humphrey,Belcher
Hunt,Stockwell
Ian Nicholas,McNally
Ichabod,Crane
Igor,Karkaroff
Ike,Graham
Ilyena,Moerelle
Inara,Serra
Isabel,Lahiri
Jack,Donaghy
Jack,Gaines
Jack,Geller 
Jack,Hall
Jack,Menken
Jackson,Belleville
Jack,Sparrow
Jacobim,Mugatu
Jake,Harper
Jake,Harper
James,Norrington
James,Potter
Janet,Chant
Janet,Tokada
Janice,Litman
Jasmine,Dubrow
Jason,Evans
Jason,Nesmith
Jason,Stiles
Javier,Esposito
Jayne,Cobb
Jay,Pritchett
Jean-Baptiste Emanuel,Zorg
Jean,Girard
Jean,Pargetter
Jeffrey,Lebowski
Jen,Barber
Jenna,Maroney
Jennifer,Parker
Jeremy,Grey
Jess,Day
Jess,Mariano
Jesus,Quintana
Jill,Green
Jimmy,MacElroy
J.J.,LaRoche
Joey,Tribbiani
John,Beckwith
John Hannibal,Smith
John,Leaman
John,Spartan
Jonathan,Archer
Jonathan,Masbath
Joshamee,Gibbs
J.P.,Prewitt
Jubal,Early
Judith,Hanson
Judy,Witwicky
Juilin,Sandar
Jules,Winnfield
Julia,Chant
Julia,Wilcox
Julie,Morton
Julius,Levinson
Karen,Cross
Kate,Beckett
Kate,Collins 
Kate,Costas
Kate,Erickson
Kathleen,Cleary
Kathleen Kiki,Harrison
Katie,Bell
Katie,van Waldenberg
Katinka,Ingabogovinanana
Kaylee,Frye
Keith,Halliwell
Kelly,Stone
Kenneth,Parcell
Kenny,Daly
Kevin,Ryan
Kif,Kroker
Kimball,Cho
Kingsley,Shacklebolt
Kirby,Gardner
Kirk,Gleason
Korben,Dallas
Lana,Gardner
Lane,Kim
Lanie,Parish
Lan,Mandragoran
Lara,Campbell
Larry,Dennit Jr.
Larry,Zoolander
Laura,Chapman
Lauren,Schneider
Lavender,Brown
Lee,Phillips
Leesha,Paper
Lelaine,Akashi
Lenina,Huxley
Leonard,Hofstadter
Lettie,Hatter
Lilith,Sternin
Lily,Potter
Linda,McFly
Linus,Caldwell
Lionel,Hardcastle
Lionel,Logue
Livingston,Dell
Liz,Lemon
Lizzie,Gaines
Logain,Ablar
Lorelai,Gilmore
Lorraine,Baines
Lucius,Best
Lucius,Malfoy
Lucius,Washington
Lucy,Bobby
Lucy,Hall
Ludo,Bagman
Luke,Danes
Luke,Dunphy
Luna,Lovegood
Luther,Wainwright
Macaulay,Connor
Madeleine,Hightower
Madge,Hardcastle
Maggie,Carpenter
Maggie,Madsen
Malcolm,Baddock
Malcolm,Reed
Malcolm,Reynolds
Manny,Delgado
Marcus,Belby
Marcus,Flint
Margaret,Lord
Marge,Dursley
Maria,Hill
Marietta,Edgecome
Mark,Evans
Marsellus,Wallace
Martha,Hatter
Martha,Rodgers
Martin,Banks
Martin,Crane
Martin Q.,Blank
Marty,McFly
Marvalo,Gaunt
Marylin,Hamilton Rexroth Doyle Massey
Mat,Cauthon
Matilda,Jeffries
Maude,Lebowski
Maurice,Moss
Maury,Ballstein
Max,Medina
Maxwell,Forrest
Maxwell,Sheffield
Maxwell,Smart
Meredith,Morton
Merope,Gaunt
Mia,Wallace
Michael,Harper
Michael,McCann
Michel,Gerard
Mikaela,Banes
Miles,Massey
Millicent,Bagnold
Millicent,Bulstrode
Millie,Chant
Minerva,McGonagall
Min,Farshaw
Mitchell,Pritchett
Mitch,Martin
Moiraine,Damodred
Molly,Weasley
Monica,Geller
Monica,Moreland
Mordecai,Roberts
Morfin,Gaunt
Morgase,Trakand
Morty,Fine
Mr.,Heckles
Mundungus,Fletcher
Murray,Blum
Mustrum,Ridcully
Nancy,Callahan
Narcissa,Malfoy
Natasha,Romanoff
Neville,Longbottom
Nicholas,Flamel
Nick,Fury
Nick,Harper
Nick,Miller
Niles,Crane
Nimphodorah,Tonks
Nino,Quincampoix
Nobby,Nobbs
Noel,Shempsky
Nora,Tyler Bing
Nymphadora,Tonks
Nynaeve,al'Meara
Oliver,Wood
Ollie,Olerud
Otto,Bagman
Padma,Patil
Paolo,Montana
Paris,Geller
Parvatie,Patil
Patrick,Jane 
Paul,Gilbert
Paul,Spericki
Pedron,Niall
Penelope,Clearwater
Penny,Johnson
Pepper,Potts
Percy,Weasley
Perrin,Aybara
Perspicacia,Tick
Pete,Hornberger
Peter,Diamond
Peter,Malloy
Petunia,Dursley
Phil,Coulson
Phil,Dunphy
Philip,Banks
Philip J.,Fry
Phoebe,Buffay
Ponder,Stibbons
Poppey,Pomfrey
Priya,Koothrappali
Professor,Farnsworth
Rachel,Green
Raj,Koothrappali
Rand,al'Thor
Raphaël,Poulain
Raymond,Dufayel
Red,Redding
Reese,Bobby
Regan,Shaw
Reginald,Shoe
Regina,Phalange
Remus,Lupin
Renna,Tanner
Reuben,Tishkoff
Rex,Rexroth
Richard,Castle
Richard,Gilmore
Richard,van Horne
Ricky,Bobby
Rico,Doretti
River,Tam
Robert,Lewis
Robert Rusty,Ryan
Rocky,Hardcastle
Roderick,Decker
Roger,Chant
Roger,Davies
Roman,Nagel
Romilda,Vane
Ron,Burgundy
Ron,Weasley
Ron,Witwicky
Rory,Gilmore
Rory,Thayer
Ross,Geller
Rowena,Ravenclaw
Roy,Montgomery
Roy,Trenneman
Roz,Doyle
Rubeus,Hagrid
Ruby,Rhod
Rufus,Scrimgeour
Russell,Casse
Ryan,King
Sack,Lodge 
Salazar,Slytherin
Sally-Anne,Perks
Samantha,Pierce
Sam,Bosco
Sam,Hall
Samuel,Vimes
Sam,Witwicky
Sandy,Edwards
Sarah,Sorkin
Saul,Bloom
Scrappy,Zoolander
Seaine,Herimon
Seamus,Finnigan
Sean,Maguire
Seth,Lord
Sheldon,Cooper
Sherman,Schrader
Sherry,Dempsey
Sidney,Kidd
Simon,Moon
Simon,Phoenix
Simon,Tam
Simon,Westbühl
Sirius,Black
Siuan,Sanche
Slevin,Kelevra
Sookie,St. James
Sophie,Hatter
Stephen,Johnson
Steven,Hiller
Steve,Rogers
Stranz,van Waldenberg
Stuart,Bloom
Summer,Edgecombe
Susan,Bones
Susan,Harper
Susan,Sto Helit
Sybil,Vimes 
Sylvia,Fine
Tag,Jones
Tam,al'Thor
Tanja,Doretti
Teddy,Duchamp
Templeton,Peck
Teresa,Lisbon
Terry,Benedict
Terry,Rapson
Tess,Ocean
Thomas,Crown
Thomas J.,Whitmore
Thom,Merrilin
Tia,Dalma
Tiffany,Aching
Tigraine,Mantear
Todd,Cleary
Tod,Johnson
Tom,Dobbs
Tom,Gomez
Tom,Halliwell
Tommy,Volker
Tonino,Montana
Tony,Stark
Tracey,Smith
Tracy,Jordan
Tracy,Lord
Travis,Mayweather
Turanga,Leela
Turk,Malloy
Val,Toriello
Vance,Burress
Vern,Tessio
Veronica,Corningstone
Victoria,Gates
Viktor,Krum
Vincent,Vega
Violet,Parr
Virgil,Malloy
Virgil,Minelli
Vito,Cornelius
Vivian,Banks
Vivian,Kensington
Walter,Brackett
Walter,Sobchak
Wayne,Rigsby
Weatherby,Swann
Wheezy,Joe
Will,Hunting
Will,Turner
Windle,Poons
Winston,Bishop
Zapp,Brannigan
Zoe,Washburne
